ชื่อกลยุทธ์,หมวด,ลักษณะ,ตัวอย่างสถานการณ์,สาเหตุที่เกี่ยวข้องกับกลยุทธ์
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย”,จอมพลศัตรูระดมพลทหารเพื่อเตรียมการโจมตีเมืองหลวงทางทิศตะวันออก ฝ่ายเราแอบส่งทูตหว่านล้อมให้ปั่นป่วนขอเจรจาสันติภาพชั่วคราว ทำให้ศัตรูแบ่งกำลังมารักษาศาลาการเจรจา จากนั้นฝ่ายเราก็บุกโจมตีป้อมทางทิศตะวันตกจนแตกพ่าย,การเจรจาชั่วคราวทำให้ศัตรูลดกำลังที่ป้อมฝั่งทิศตะวันตก จึงเป็นโอกาสทองในการโจมตีแบบไม่ทันตั้งตัว
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย”,ศัตรูเตรียมพลบุกค่ายเราที่ช่องเขา เราจึงส่งสัญญาณให้หมู่บ้านใกล้เคียงส่งเสียงระเบิดแกล้งขัดขวางจากด้านตะวันตก ทำให้ศัตรูแบ่งกองกำลังไปรับมือ จากนั้นเราใช้กองพลหลักบุกผ่านช่องเขาทางด้านเหนือซึ่งเหลือป้อมปราการน้อยกว่า,ต้องการให้ศัตรูเสียเวลาปรับแผนรับมือเสียงระเบิดที่ทิศตะวันตก จึงพบว่าช่องเขาทางเหนืออ่อนแอกว่า จึงใช้เป็นเส้นทางบุกหลัก
ยืมดาบฆ่าคน,ชนะศึก,หมายถึงการกำจัดศัตรูที่มีความเข้มแข็ง ไม่จำเป็นจะต้องลงมือเอง พึงยืมกำลังและไพร่พลทหารของผู้อื่นเป็นฝ่ายกำจัดศัตรู เพื่อเป็นการรักษาพละกำลังไพร่พลทหารของตนเองไว้สำหรับการศึกอื่น,"การนำเอากลยุทธ์ยืมดาบฆ่าคนไปใช้ได้แก่ จิวยี่ที่หลอกให้โจโฉฆ่าชัวมอและเตียวอุ๋นแม่ทัพเรือของตนเองในคราวศึกเซ็กเพ็กระหว่างเล่าปี่และซุนกวน กล่าวคือเมื่อคราวที่โจโฉยกทัพไปตีเกงจิ๋วได้จากเล่าจ๋อง ก็จะนำกำลังทหารโจมตีตั้งมั่นของซุนกวนเป็นลำดับต่อไป โจโฉมีทหารในกองทัพเป็นจำนวนมาก ซึ่งส่วนใหญ่เป็นชาวเหนือชำนาญการรบบกไม่ชำนาญการรบทางน้ำ โจโฉมีความจำเป็นที่จะต้องอาศัยชัวมอและเตียวอุ๋น นายทหารชาวเกงจิ๋วเป็นแม่ทัพช่วยในการทำศึกทางน้ำ และเป็นผู้ควบคุมฝึกสอนทหารโจโฉให้ชำนาญการเดินทัพเรือ จิวยี่ทราบข่าวการเตรียมทัพเรือของโจโฉ จึงสอบถามถึงเหตุการณ์ที่ค่ายทหาร และเมื่อเห็นการฝึกทหารของชัวมอและเตียวอุ๋นจิวยี่ก็เห็นจะปล่อยคนทั้งสองไว้แก่โจโฉต่อไปจะเกิดภัยแก่ตนในศึกครั้งนี้ จึงหาทางวางแผนกำจัดเสียให้สิ้นซาก จิวยี่จึงวางกลอุบายซ้อนแผนหลอกใช้เจียวค้านในการกำจัดชัวมอและเตียวอุ๋น โดยพาเจียวค้านกลับบ้านและให้กินโต๊ะก่อนเสร็จ แล้วทำเป็นเมามายไม่ได้สติ จิวยี่ก็พาเจียวค้านไปนอนยังเตียงเดียวกันในห้อง เจียวค้านแอบเห็นจดหมายที่จิวยี่เขียนและวางไว้จึงหยิบออกมาโดยมิเผือ ความในจดหมายว่า ""ชัวมอและเตียวอุ๋นเอาใจออกห่าง และจะตัดศีรษะโจโฉมาให้"" เมื่อเจียวค้านอ่านจดหมายลับของจิวยี่ดีใจ รีบนำจดหมายนั้นมามอบให้แก่โจโฉหวังความดีความชอบแก่โจโฉไม่เท่าทันแผนกลอุบายของจิวยี่ เมื่อได้อ่านจดหมายลับจากเจียวค้านก็โกรธแค้นจึงสั่งประหารชัวมอและเตียวอุ๋นทันที ภายหลังได้แลเห็นศีรษะของแม่ทัพเรือทั้งสอง โจโฉก็รู้ว่าตนเองนั้นต้องกลอุบายของจิวยี่ที่สังหารคนของตนที่เป็นแม่ทัพ และชำนาญในการเดินเรือ เมื่อโจโฉไม่มีชัวมอและเตียวอุ๋นในการทำศึกทางเรือ ก็ถูกขงเบ้งและจิวยี่เผากองทัพเรือจนพ่ายแพ้ยับเยินในเวลาต่อมา กลยุทธ์ยืมดาบฆ่าคนของจิวยี่ก็ประสบความสำเร็จในการตัดกำลังสำคัญในการนำทัพเรือของโจโฉ ทำให้ได้รับชัยชนะได้อย่างงดงาม",เพื่อกำจัดแม่ทัพเรือผู้ชำนาญของศัตรู โดยไม่ต้องสูญเสียกำลังตัวเอง ใช้คนกลางจัดการศัตรูสำคัญแทน
ยืมดาบฆ่าคน,ชนะศึก,กำจัดศัตรูที่เข้มแข็ง โดยไม่ลงมือเอง แต่ยืมกำลังของผู้อื่นเป็นเครื่องมือ เพื่อรักษากำลังของตนไว้ใช้ในศึกต่อไป,แม่ทัพก๊กหนึ่งป่าวประกาศจะส่งฮ่องเต้ไปลงนามสนธิสัญญาสันติภาพกับก๊กใกล้เคียง เพื่อให้ศัตรูลดการระวัง ตลอดจนอพยพกำลังบางส่วนออกไป ในขณะเดียวกัน ส่งสอดแนมท้องถิ่นลอบพิษเจ้าเมืองให้ตายก่อนสงครามจริง,ต้องการลดกำลังของศัตรูโดยไม่ต้องส่งกองทัพหลักเข้าโจมตี ใช้ “พิษ” ของคนในท้องถิ่นเป็นเครื่องมือ
ยืมดาบฆ่าคน,ชนะศึก,กำจัดศัตรูที่เข้มแข็ง โดยไม่ลงมือเอง แต่ยืมกำลังของผู้อื่นเป็นเครื่องมือ เพื่อรักษากำลังของตนไว้ใช้ในศึกต่อไป,เล่าปี่สร้างข่าวลือว่าสนใจที่จะซื้ออาวุธยุทโธปกรณ์จากราชวงศ์ตะวันตก จึงให้พ่อค้าขนส่งอาวุธปลอมไปขายให้ก๊กศัตรู เมื่อศัตรูครอบครองอาวุธชำรุดก็ขาดกำลังรบหนัก จากนั้นจึงยกทัพเข้าตีง่ายดาย,ต้องการให้ศัตรูเปลืองทรัพยากรกับอาวุธด้อยคุณภาพจนอ่อนกำลัง ก่อนจะลงมือรบจริง
ยืมดาบฆ่าคน,ชนะศึก,กำจัดศัตรูที่เข้มแข็ง โดยไม่ลงมือเอง แต่ยืมกำลังของผู้อื่นเป็นเครื่องมือ เพื่อรักษากำลังของตนไว้ใช้ในศึกต่อไป,ผู้นำสำนักลับในอาณาจักร A ส่งสารลับให้กลุ่มโจรข้ามภูเขาเข้าปล้นค่ายทหาร A แล้วใช้ข่าวนี้สร้างความหวาดกลัว ทำให้กองกำลังของ A แยกออกไปปราบโจร เมื่อกระจัดจึงยกกองทัพหลักบุกยึดเมืองของ A ได้รวดเร็ว,ต้องการใช้ “มือโจร” เป็นเครื่องมือเบี่ยงเบนและลดกำลังศัตรู โดยไม่ต้องส่งกองทหารตนเองเข้าไปก่อน
ยืมดาบฆ่าคน,ชนะศึก,กำจัดศัตรูที่เข้มแข็ง โดยไม่ลงมือเอง แต่ยืมกำลังของผู้อื่นเป็นเครื่องมือ เพื่อรักษากำลังของตนไว้ใช้ในศึกต่อไป,กษัตริย์ B ส่งทูตสันติภาพไปยังก๊ก C พร้อมมอบของขวัญมีค่า แต่แอบสั่งให้ทูตไปปล่อยข่าวลือว่าก๊ก C กำลังวางแผนกบฏในราชสำนัก เมื่อก๊ก C ถูกจับได้ว่ากบฏ กษัตริย์ B ก็มีข้ออ้างประหารพวกทรงอิทธิพลครั้งใหญ่ แล้วจึงยกทัพเข้าสังหาร C เหลือน้อยก่อนล้อมยึดประเทศ,ต้องการใช้ “การเมือง” และ “ข่าวลือ” ของทูตเป็นเครื่องมือทำลายความเข้มแข็งของฝ่ายตรงข้ามโดยไม่สูญเสียกำลังทหาร
ยืมดาบฆ่าคน,ชนะศึก,กำจัดศัตรูที่เข้มแข็ง โดยไม่ลงมือเอง แต่ยืมกำลังของผู้อื่นเป็นเครื่องมือ เพื่อรักษากำลังของตนไว้ใช้ในศึกต่อไป,ขุนพล D ปล่อยข้อมูลลับว่าตนกำลังตีค่าย E ทางทิศใต้ จึงให้กลุ่มชนเผ่าแถบชายแดนโจมตีค่าย E ฝ่ายเดียว เมื่อ E อ่อนกำลังจากการต้านเผ่า D จึงส่งทหารปกติเข้าบุกยึดค่ายได้ง่ายดาย,ต้องการใช้ “ชนเผ่า” เป็นกำลังสนับสนุนให้โจมตีศัตรูเบื้องต้นจนอ่อนกำลัง แล้วค่อยลงมือด้วยกองทัพหลักของตนเอง
รอช้าตามเปลี่ยน,ชนะศึก,"หมายถึงการที่ศัตรูยังคงมีความเข้มแข็ง กำลังไพร่พลทหารยังคงแข็งแกร่งยากจะต่อสู้ ก็ไม่ควรจะเข้าปะทะโดยตรงด้วยแรงและพละกำลังที่มีอยู่ แต่ยามใดที่ศัตรูเกิดความอ่อนแอในกองทัพต้องรีบฉวยโอกาสนำกำลังบุกเข้าโจมตีโดยเร็ว เพื่อเป็นการข่มขวัญและป้องกันไม่ให้ศัตรูหวนกลับมาแข็งแกร่ง ดังเดิม กลยุทธ์รอช้าตามเปลี่ยนเป็นการใช้ความสงบสยบความเคลื่อนไหว ให้ระยะเวลาเป็นการบั่นทอนกำลังและจิตใจของศัตรู ฉวยโอกาสพลิกสถานการณ์จากเดิมที่กลายเป็นรองหรือเสียเปรียบให้กลายเป็นฝ่ายได้เปรียบ เพื่อให้ได้มาซึ่งชัยชนะในสามก๊ก ยามเกิดศึกสงคราม กองทัพทุกกองทัพต่างใช้กลยุทธ์รอช้าตามเปลี่ยน เพื่อหาโอกาสเหมาะในการบุกเข้าโจมตีศัตรูยามเพลี่ยงพล้ำอยู่ตลอดเวลา ในการทำศึกสงคราม แก่นหลักสำคัญของคำว่า ""สถานการณ์"" หมายถึงการรู้จักใช้จังหวะหรือสถานการณ์ที่ได้เปรียบให้เป็นประโยชน์",การนำเอากลยุทธ์รอช้าตามเปลี่ยนไปใช้ได้แก่ ลกซุนที่แนะนำซุนกวนให้พระเจ้าเล่าเสี้ยนยกทัพไปตีลิ่วเอ๋ย กล่าวคือเมื่อคราวที่โจหยินฝึกศึกสงครามแลกแก่กวนซุน ถูกทัพแตกกระจายต้องถอยร่นและหลบหนีเอาตัวรอด สูญเสียกำลังทหารและไพร่พลเป็นจำนวนมาก เสบียงอาหารและอาวุธขาดแคลน ทหารขาดขวัญและกำลังใจในการทำสงคราม ลกซุนจึงแนะนำให้ซุนกวนแต่งหนังสือให้ม้าใช้นำไปให้พระเจ้าเล่าเสี้ยน ให้รีบนำกำลังทหารยกทัพไปตีลิ่วเอ๋ยในขณะที่กำลังทหารของวุยก๊กกำลังอ่อนแรง ข่าวการยกทัพไปตีลิ่วเอ๋ยล่วงรู้ถึงขงเบ้งขงเบ้งจึงรอคอยจังหวะ ทันทีที่ทราบข่าวจากพระเจ้าเล่าเสี้ยนจึงรีบนำกำลังทหารไปทางด้านนอกที่แต่การจะเข้าไปต้องผ่านด่านที่เกียจเจียวเฝ้าอยู่ ขงเบ้งนำทัพทหารไปเป็นจำนวนมากเพื่อหวังตีหักด่านอันจ๋อง แต่เอียเจียวมีฝีมือเข้มแข็งและเชี่ยวชาญในการรบ จึงสามารถตีหักด่านตั้งรับทัพของขงเบ้งได้ด้วยกำลังทหารภายใต้การปกครองไม่ถึงพันนาย ซึ่งทหารที่ขงเบ้งนำมานั้นมีจำนวนมากกกว่านับร้อยเท่า เอียเจียวสามารถรักษาด่านตนเองไว้ได้นานถึงยี่สิบวันจนทัพหนุนจากเมืองหลวงมาช่วย ขงเบ้งก็พยายามตีหักด่านอันจ๋องแต่เริ่มขาดแคลนเสบียงอาหาร ประกอบกับเอียเจียวรักษาด่านได้อย่างแข็งแรง จึงไม่สามารถหักตีด่านได้สำเร็จและยอมถอยทัพกลับก๊ก กลยุทธ์รอช้าตามเปลี่ยนของลกซุนที่ไม่ต้องใช้กำลังทหารและไพร่พลของตนเองในการทำศึก ก็ประสบความสำเร็จในการรักษา กำลังทหารและไพร่พลของตนเองได้อย่างงดงาม,ขงเบ้ง “ไม่รีบ” ส่งกองทัพเข้าตีลิ่วเอ๋ยทันที เพราะรู้ว่าศัตรูเพิ่งฟื้นตัวเต็มที่ ยังหาญกล้าโต้กลับได้ ขงเบ้งเฝ้ารอสัญญาณอยู่จนทราบว่าด่านอันจ๋องเริ่มขาดเสบียงและกำลังอ่อน จึงถือเป็นจังหวะ “ศัตรูเพลี่ยงพล้ำ” แม้ขงเบ้งพยายามบุกซ้ำ แต่เวลาโจทย์ที่เสบียงไม่พอทำให้โจมตีไม่สำเร็จ แสดงว่าการรอจังหวะให้ศัตรู “เพลี่ยงพล้ำ” ต้องบุกให้เร็วและหนักพอสมควร ระยะเวลาที่ลากยาวช่วยลดขวัญและเสบียงของขงเบ้งเองด้วย แต่สำคัญคือฝ่ายที่ใช้กลยุทธ์ต้องคำนวณเวลาการบุกซ้ำให้เหมาะสมก่อนศัตรูฟื้นตัว
รอช้าตามเปลี่ยน,ชนะศึก,เมื่อศัตรูยังเข้มแข็งไม่ควรปะทะตรง แต่เมื่อใดศัตรูบอบช้ำอ่อนแรงต้องรีบฉวยโอกาสบุกโจมตี เพื่อข่มขวัญและป้องกันไม่ให้หวนกลับเข้มแข็งดังเดิม ใช้ “เวลา” บั่นทอนกำลังและจิตใจคู่ต่อสู้ แล้วพลิกสถานการณ์ให้ได้เปรียบ,กองทัพฝ่ายศัตรูเพิ่งผ่านการรบหนักจนเสบียงขาดแคลน ขงเบ้งจึงสั่งพักพล รอให้ศัตรูอ่อนแรงเต็มที่ ก่อนส่งกองทหารเบาไปจู่โจมค่ายซ้อมย่อยกลางดึกจนแตกพ่าย,ศัตรูเพิ่งสูญเสบียงและทหารล้าจากการรบนาน ต้องรอให้กำลังศัตรูลดต่ำสุดจึงโจมตีเพื่อให้การบุกสำเร็จรวดเร็ว
รอช้าตามเปลี่ยน,ชนะศึก,เมื่อศัตรูยังเข้มแข็งไม่ควรปะทะตรง แต่เมื่อใดศัตรูบอบช้ำอ่อนแรงต้องรีบฉวยโอกาสบุกโจมตี เพื่อข่มขวัญและป้องกันไม่ให้หวนกลับเข้มแข็งดังเดิม ใช้ “เวลา” บั่นทอนกำลังและจิตใจคู่ต่อสู้ แล้วพลิกสถานการณ์ให้ได้เปรียบ,พลเรือโทฝ่ายตนรอให้เรือศัตรูวิ่งผ่านช่องแคบคับแคบจนกรุยกร่ำ เมื่อการลาดตระเวนเหน็ดเหนื่อย คัดเลือกเพียงเรือเบาไปซุ่มยามค่ำคืน แล้วซุ่มลอบตีจนเรือศัตรูแตกกระเจิง,ช่องแคบสภาพแคบและเหนื่อยล้าจากการลาดตระเวน ทำให้ศัตรูอ่อนแรง เหมาะแก่การซุ่มโจมตีแบบรวดเร็ว
